,Strain.original.name,Codigo.CCBT,Serogroup.x,Serotype,Origin,Isolate.date,Geographic.origin,conservacion,Growth,ELISA.x,Zot.x,Zot.Ace.x,ctxA.x,tcp.x,N.Caja,Observ.x,RAPD,PFGE,VCR.PCR,REP.PCR,Supplier.Name,Strain.name,Serogroup.y,Serotipe,Origen,Isolation.date,City,Province,TCBS,TSA,Oxidase,ELISA.y,Zot.y,Zot.Ace.y,ctxA.y,tcp.y,Observ.y,Lane,Sample,Public.Name,Strain,Geographic.origin_NR,latitude,longitude,Province_Geographic.origin_NR,contaminated
124,F99 no H,,O1,Ogawa,Human,05/05/1992,Formosa,caja 3 temp amb (hay otra F99 no H),TCBS+ TSA+ Oxidasa +,Negative,Negative,Negative,Negative,,3,,?,6,NA,,CCBT0190,,O1,Ogawa,Human,05/05/1992,,Formosa,Positive,Positive,Positive,Negative,Negative,Negative,Negative,,NA,26268_1#257,4772STDY6940955,NA,NA,Formosa,-26.177909,-58.188489,Formosa,
20,AA7,,O1,Ogawa,Human,24/02/1992,,,,Positive,,,,,1,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
21,T4,,no-O1,,Ambiental,02/03/1992,Salta Oran,,,Negative,,,,,1,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oran, Salta",-23.131883,-64.320651,Salta,
126,J39,,O1,Ogawa,Ambiental,05/05/1992,Jujuy,caja 3 temp amb,TCBS+ TSA+ oxidasa+,Positive,,,,,3,,,,NA,,CCBT0188,,O1,Ogawa,Environmental,05/05/1992,,Jujuy,Positive,Positive,Positive,Positive,,,,,NA,26268_1#255,4772STDY6940953,NA,NA,Jujuy,-23.119228,-65.614263,Jujuy,
23,CF264-d,,O1,Inaba,Human,12/03/1992,Capital Federal,,no crecio,Positive,,,,,1,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Buenos Aires (city),-34.59949,-58.342609,Buenos Aires,
24,CF264-b,,O1,Inaba,Human,12/03/1992,Capital Federal,,,Positive,,,,,1,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Buenos Aires (city),-34.59949,-58.342609,Buenos Aires,
25,CF264-e,,O1,Ogawa,Human,12/03/1992,Capital Federal,,,Positive,,,,,1,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Buenos Aires (city),-34.59949,-58.342609,Buenos Aires,
26,26-a,,O1,Inaba,Human,17/03/1992,Buenos Aires,,,Positive,,,,,1,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Buenos Aires (city),,,,
27,26-c,,O1,Inaba,Human,17/03/1992,Buenos Aires,,,Positive,,,,,1,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Buenos Aires (city),,,,
28,26-d,,O1, ,Human,17/03/1992,Buenos Aires,,,Negative,,,,,1,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Buenos Aires (city),,,,
127,J40,,O1,Ogawa,Ambiental,05/05/1992,Jujuy,caja 3 temp amb,TCBS+ TSA+ oxidasa+,Positive,,,,,3,,,,NA,,CCBT0200,,O1,Ogawa,Environmental,05/05/1992,,Jujuy,Positive,Positive,Positive,Positive,,,,,NA,26268_1#267,4772STDY6940965,NA,NA,Jujuy,-23.119228,-65.614263,Jujuy,
128,J41,,O1,Ogawa,Ambiental,05/05/1992,Jujuy,caja 3 temp amb,TCBS+ TSA+ oxidasa+,Positive,,,,,3,,,,NA,,CCBT0229,,O1,Ogawa,Environmental,05/05/1992,,Jujuy,Positive,Positive,Positive,Positive,,,,,NA,26268_1#5,4772STDY6940991,NA,NA,Jujuy,-23.119228,-65.614263,Jujuy,
