,Strain.original.name,Codigo.CCBT,Serogroup.x,Serotype,Origin,Isolate.date,Geographic.origin,conservacion,Growth,ELISA.x,Zot.x,Zot.Ace.x,ctxA.x,tcp.x,N.Caja,Observ.x,RAPD,PFGE,VCR.PCR,REP.PCR,Supplier.Name,Strain.name,Serogroup.y,Serotipe,Origen,Isolation.date,City,Province,TCBS,TSA,Oxidase,ELISA.y,Zot.y,Zot.Ace.y,ctxA.y,tcp.y,Observ.y,Lane,Sample,Public.Name,Strain,Geographic.origin_NR,latitude,longitude,Province_Geographic.origin_NR,contaminated 
938,SO1914,,O1,Ogawa,Human,26/03/1993,"Oran, Salta",,,Positive,,,,,12,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oran, Salta",-23.131883,-64.320651,Salta,
830,J122B,,O1,Ogawa,Human,02/03/1993,Jujuy,Caja 10 temp amb,TCBS+ TSA+ Oxidasa+,Positive,,,,,11,,,,NA,,CCBT0239,,O1,Ogawa,Human,02/03/1993,,Jujuy,Positive,Positive,Positive,Positive,,,,,NA,26268_1#14,4772STDY6941000,NA,NA,Jujuy,-23.119228,-65.614263,Jujuy,
940,SO1956,,O1,Ogawa,Human,26/03/1993,"Oran, Salta",,,Positive,,,,,12,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oran, Salta",-23.131883,-64.320651,Salta,
941,SO1962,,O1,Ogawa,Human,26/03/1993,"Oran, Salta",,,Positive,,,,,12,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oran, Salta",-23.131883,-64.320651,Salta,
942,SO1984,,O1,Ogawa,Human,26/03/1993,"Oran, Salta",,,Positive,,,,,12,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oran, Salta",-23.131883,-64.320651,Salta,
943,SO1809,,O1,Ogawa,Human,26/03/1993,"Oran, Salta",,,Positive,,,,,12,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oran, Salta",-23.131883,-64.320651,Salta,
944,SO1876,,O1,Ogawa,Human,26/03/1993,"Oran, Salta",,,Positive,,,,,12,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oran, Salta",-23.131883,-64.320651,Salta,
945,SO1941,,O1,Ogawa,Human,26/03/1993,"Oran, Salta",,,Positive,,,,,12,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oran, Salta",-23.131883,-64.320651,Salta,
946,SO1997,,O1,Ogawa,Human,26/03/1993,"Oran, Salta",,,Positive,,,,,12,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oran, Salta",-23.131883,-64.320651,Salta,
947,SO1996,,O1,Ogawa,Human,26/03/1993,"Oran, Salta",,,Positive,,,,,12,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oran, Salta",-23.131883,-64.320651,Salta,
948,SO1808,,O1,Ogawa,Human,26/03/1993,"Oran, Salta",,,Positive,,,,,12,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oran, Salta",-23.131883,-64.320651,Salta,
949,SO1894,,O1,Ogawa,Human,26/03/1993,"Oran, Salta",,,Positive,,,,,12,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oran, Salta",-23.131883,-64.320651,Salta,
950,SO1797,,O1,Ogawa,Human,26/03/1993,"Oran, Salta",,,Positive,,,,,12,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oran, Salta",-23.131883,-64.320651,Salta,
951,SO1814,,O1,Ogawa,Human,26/03/1993,"Oran, Salta",,,Positive,,,,,12,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oran, Salta",-23.131883,-64.320651,Salta,
952,SO1879,,O1,Ogawa,Human,26/03/1993,"Oran, Salta",,,Positive,,,,,12,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oran, Salta",-23.131883,-64.320651,Salta,
953,SO1872,,O1,Ogawa,Human,26/03/1993,"Oran, Salta",,,Positive,,,,,12,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oran, Salta",-23.131883,-64.320651,Salta,
954,SO1933,,O1,Ogawa,Human,26/03/1993,"Oran, Salta",,,Positive,,,,,12,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oran, Salta",-23.131883,-64.320651,Salta,
955,SO1939,,O1,Ogawa,Human,26/03/1993,"Oran, Salta",,,Positive,,,,,12,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oran, Salta",-23.131883,-64.320651,Salta,
956,SO1949,,O1,Ogawa,Human,26/03/1993,"Oran, Salta",,,Positive,,,,,12,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oran, Salta",-23.131883,-64.320651,Salta,
957,SO2000,,O1,Ogawa,Human,26/03/1993,"Oran, Salta",,,Positive,,,,,12,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oran, Salta",-23.131883,-64.320651,Salta,
958,SO1992,,O1,Ogawa,Human,26/03/1993,"Oran, Salta",,,Positive,,,,,12,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oran, Salta",-23.131883,-64.320651,Salta,
959,ST3091,,O1,Ogawa,Human,30/03/1993,"Tartagal, Salta",,,Positive,,,,,12,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
831,J193,,O1,Ogawa,Human,02/03/1993,Jujuy,Caja 10 temp amb,TCBS+ TSA+ Oxidasa+,Positive,,,,,11,,,,NA,,CCBT0471,,O1,Ogawa,Human,02/03/1993,,Jujuy,Positive,Positive,Positive,Positive,,,,,NA,26268_1#308,4772STDY6941257,NA,NA,Jujuy,-23.119228,-65.614263,Jujuy,
832,J572,,O1,Ogawa,Human,02/03/1993,Jujuy,Caja 10 temp amb,TCBS+ TSA+ Oxidasa+,Positive,,,,,11,,,,NA,,CCBT0426,,O1,Ogawa,Human,02/03/1993,,Jujuy,Positive,Positive,Positive,Positive,,,,,NA,26237_7#181,4772STDY6941167,NA,NA,Jujuy,-23.119228,-65.614263,Jujuy,
962,ST3110,,O1,Ogawa,Human,30/03/1993,"Tartagal, Salta",,,Positive,,,,,12,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
963,ST3111,,O1,Ogawa,Human,30/03/1993,"Tartagal, Salta",,,Positive,,,,,12,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
834,J278,,O1,Ogawa,Human,02/03/1993,Jujuy,Caja 10 temp amb,TCBS+ TSA+ Oxidasa+,Positive,,,,,11,,,,NA,,CCBT0358,,O1,Ogawa,Human,02/03/1993,,Jujuy,Positive,Positive,Positive,Positive,,,,,NA,26237_7#115,4772STDY6941101,NA,NA,Jujuy,-23.119228,-65.614263,Jujuy,
965,ST3138,,O1,Ogawa,Human,30/03/1993,"Tartagal, Salta",,,Positive,,,,,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
966,ST3140,,O1,Ogawa,Human,30/03/1993,"Tartagal, Salta",,,Positive,,,,,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
835,J284,,O1,Ogawa,Human,02/03/1993,Jujuy,Caja 10 temp amb,TCBS+ TSA+ Oxidasa+,Positive,,,,,11,,,,NA,,CCBT0360,,O1,Ogawa,Human,02/03/1993,,Jujuy,Positive,Positive,Positive,Positive,,,,,NA,26237_7#117,4772STDY6941103,NA,NA,Jujuy,-23.119228,-65.614263,Jujuy,
968,ST3153,,O1,Ogawa,Human,30/03/1993,"Tartagal, Salta",,,Positive,,,,,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
836,J285,,O1,Ogawa,Human,02/03/1993,Jujuy,Caja 10 temp amb,TCBS+ TSA+ Oxidasa+,Positive,,,,,11,,,,NA,,CCBT0355,,O1,Ogawa,Human,02/03/1993,,Jujuy,Positive,Positive,Positive,Positive,,,,,NA,26237_7#112,4772STDY6941098,NA,NA,Jujuy,-23.119228,-65.614263,Jujuy,
970,ST3080,,O1,Ogawa,Human,30/03/1993,"Tartagal, Salta",,,Positive,,,,,12,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
971,ST3081,,O1,Ogawa,Human,30/03/1993,"Tartagal, Salta",,,Positive,,,,,12,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
972,ST3120,,O1,Ogawa,Human,30/03/1993,"Tartagal, Salta",,,Positive,,,,,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
973,ST3121,,O1,Ogawa,Human,30/03/1993,"Tartagal, Salta",,,Positive,,,,,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
974,ST3128,,O1,Ogawa,Human,30/03/1993,"Tartagal, Salta",,,Positive,,,,,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
975,ST3130,,O1,Ogawa,Human,30/03/1993,"Tartagal, Salta",,,Positive,,,,,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
976,SE Barrionuevo,,O1,Ogawa,Human,01/04/1993,Sgo. Del Estero,,,Positive,,,,,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
977,SE Ibañez,,O1,Ogawa,Human,01/04/1993,Sgo. Del Estero,,,Positive,,,,,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
978,T229/w,,no-O1,,Ambiental,06/04/1993,Tucumán,,,Negative,,,,,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tucuman,-27.013351,-65.236407,Tucuman,
979,T227/ W,,O1,Ogawa,Ambiental,06/04/1993,Tucumán,,,Positive,Positive,Positive,Positive,NR,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tucuman,-27.013351,-65.236407,Tucuman,
980,T227/w,,O1,Ogawa,Ambiental,06/04/1993,Tucumán,,,Positive,Positive,Positive,Positive,El Tor,13,,1,1,3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tucuman,-27.013351,-65.236407,Tucuman,
981,BA Orieta,,no-O1,,Human,07/04/1993,"San Juan de Dios, La Plata",,,Negative,,,,,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"La Plata, Buenos Aires",-34.922156,-57.956076,Buenos Aires,
982,BA Sosaya,,no-O1,,Human,07/04/1993,"San Juan de Dios, La Plata",,,Negative,,,,,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"La Plata, Buenos Aires",-34.922156,-57.956076,Buenos Aires,
983,ST3220,,autoaglut,,Human,12/04/1993,"Tartagal, Salta",,,Negative,,,,,13,,,repetir,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
984,ST3171,,O1,Ogawa,Human,12/04/1993,"Tartagal, Salta",,,Positive,,,,,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
985,ST3180,,O1,Ogawa,Human,12/04/1993,"Tartagal, Salta",,,Positive,,,,,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
986,ST3219,,O1,Ogawa,Human,12/04/1993,"Tartagal, Salta",,,Positive,,,,,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
838,J347,,O1,Ogawa,Human,02/03/1993,Jujuy,Caja 10 temp amb,TCBS+ TSA+ Oxidasa+,Positive,,,,,10,,,,NA,,CCBT0434,,O1,Ogawa,Human,02/03/1993,,Jujuy,Positive,Positive,Positive,Positive,,,,,NA,26237_7#189,4772STDY6941175,NA,NA,Jujuy,-23.119228,-65.614263,Jujuy,
988,ST3147,,O1,Ogawa,Human,12/04/1993,"Tartagal, Salta",,,Positive,,,,,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
989,ST3162,,O1,Ogawa,Human,12/04/1993,"Tartagal, Salta",,,Positive,,,,,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
990,ST3168,,O1,Ogawa,Human,12/04/1993,"Tartagal, Salta",,,Positive,,,,,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
991,ST3170,,O1,Ogawa,Human,12/04/1993,"Tartagal, Salta",,,Positive,,,,,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
992,ST3102,,O1,Ogawa,Human,12/04/1993,"Tartagal, Salta",,,Positive,,,,,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
993,ST3221,,O1,Ogawa,Human,12/04/1993,"Tartagal, Salta",,,Positive,,,,,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
994,ST3224,,O1,Ogawa,Human,12/04/1993,"Tartagal, Salta",,,Positive,,,,,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
995,ST3225,,O1,Ogawa,Human,12/04/1993,"Tartagal, Salta",,,Positive,,,,,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
996,ST3226,,O1,Ogawa,Human,12/04/1993,"Tartagal, Salta",,,Positive,,,,,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
997,ST3229,,O1,Ogawa,Human,12/04/1993,"Tartagal, Salta",,,Positive,,,,,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
998,ST3253,,O1,Ogawa,Human,12/04/1993,"Tartagal, Salta",,,Positive,,,,,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
999,ST3267,,O1,Ogawa,Human,14/04/1993,"Tartagal, Salta",,,Positive,,,,,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1000,ST3285,,O1,Ogawa,Human,14/04/1993,"Tartagal, Salta",,,Positive,,,,,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1001,ST3310,,O1,Ogawa,Human,14/04/1993,"Tartagal, Salta",,,Positive,,,,,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1002,ST3311,,O1,Ogawa,Human,14/04/1993,"Tartagal, Salta",,,Positive,,,,,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1003,ST3365,,O1,Ogawa,Human,14/04/1993,"Tartagal, Salta",,,Positive,,,,,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1004,ST3342,,O1,Ogawa,Human,14/04/1993,"Tartagal, Salta",,,Positive,,,,,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1005,ST3343,,O1,Ogawa,Human,14/04/1993,"Tartagal, Salta",,,Positive,,,,,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1006,ST3374,,O1,Ogawa,Human,14/04/1993,"Tartagal, Salta",,,Positive,,,,,13,,,1,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1007,ST3375,,O1,Ogawa,Human,14/04/1993,"Tartagal, Salta",,,Positive,,,,,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1008,ST3260,,O1,Inaba,Human,14/04/1993,"Tartagal, Salta",,,Positive,,,,,13,,,1,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1009,ST3317,,O1,Ogawa,Human,26/04/1993,"Tartagal, Salta",,,Positive,,,,,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1010,ST3318,,O1,Ogawa,Human,26/04/1993,"Tartagal, Salta",,,Positive,,,,,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1011,ST3319,,O1,Ogawa,Human,26/04/1993,"Tartagal, Salta",,,Positive,,,,,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1012,ST3324,,O1,Ogawa,Human,26/04/1993,"Tartagal, Salta",,,Positive,,,,,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1013,ST3425,,O1,Ogawa,Human,26/04/1993,"Tartagal, Salta",,,Positive,,,,,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1014,ST3426,,O1,Ogawa,Human,26/04/1993,"Tartagal, Salta",,,Positive,,,,,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1015,ST3427,,O1,Ogawa,Human,26/04/1993,"Tartagal, Salta",,,Positive,,,,,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1016,ST3429,,O1,Ogawa,Human,26/04/1993,"Tartagal, Salta",,,Positive,,,,,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1017,ST3430,,O1,Ogawa,Human,26/04/1993,"Tartagal, Salta",,,Positive,,,,,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1018,ST3431,,O1,Ogawa,Human,26/04/1993,"Tartagal, Salta",,,Positive,,,,,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1019,ST3432,,O1,Ogawa,Human,26/04/1993,"Tartagal, Salta",,,Positive,,,,,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1020,ST3450,,O1,Ogawa,Human,26/04/1993,"Tartagal, Salta",,,Positive,,,,,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1021,ST3451,,O1,Ogawa,Human,26/04/1993,"Tartagal, Salta",,,Positive,,,,,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1022,ST3452,,O1,Ogawa,Human,26/04/1993,"Tartagal, Salta",,,Positive,,,,,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1023,ST3501,,O1,Ogawa,Human,26/04/1993,"Tartagal, Salta",,,Positive,,,,,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1024,ST3518,,O1,Ogawa,Human,26/04/1993,"Tartagal, Salta",,,Positive,,,,,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1025,ST3613,,O1,Ogawa,Human,26/04/1993,"Tartagal, Salta",,,Positive,,,,,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1026,ST3628,,O1,Ogawa,Human,26/04/1993,"Tartagal, Salta",,,Positive,,,,,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1027,ST3629,,O1,Ogawa,Human,26/04/1993,"Tartagal, Salta",,,Positive,,,,,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1028,SJ2,,no-O1,,Human,29/04/1993,San Juan ,,,Negative,,,,,13,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,San Juan ,-31.016234,-68.595645,San Juan,
